Date,Open,High,Low,Close,Adj Close,Volume
2015-08-14,223.179001,227.895004,218.177002,226.369995,202.765060,9515041
2015-08-17,227.227997,236.755005,223.130997,235.087997,210.573975,8947333
2015-08-18,236.373993,242.852997,234.945007,240.423004,215.352676,10291473
2015-08-19,238.279007,241.376007,235.087997,237.994003,213.176971,4517602
2015-08-20,235.992996,236.660004,229.132996,230.134003,206.136581,4855837
2015-08-21,227.227997,227.227997,220.559006,226.037003,202.466797,5507337
2015-08-24,218.462997,218.462997,193.072006,196.358994,175.883484,12292472
2015-08-25,200.074997,207.600998,190.643005,203.362000,182.156250,14911709
2015-08-26,202.932999,209.315994,199.074005,205.457993,184.033676,8750249
2015-08-27,209.602005,218.938995,204.934006,215.699997,193.207687,14932908
2015-08-28,221.606995,223.511993,212.651001,218.128998,195.383423,9852930
2015-08-31,214.651993,217.891006,213.080002,214.746994,192.354065,6069187
2015-09-01,211.507996,215.557007,202.981003,206.076996,184.588150,6796473
2015-09-02,208.554001,215.223007,200.360992,209.126007,187.319199,9351765
2015-09-03,212.841003,221.701996,211.602997,218.891006,196.065964,7434373
2015-09-04,218.080994,218.080994,206.744003,208.554001,186.806854,7588508
2015-09-07,210.792999,213.412994,204.981003,205.647995,184.203857,5178636
2015-09-08,208.268005,221.988007,207.029999,217.938995,195.213226,8645536
2015-09-09,224.845993,230.371994,221.367996,228.179993,204.386322,9261748
2015-09-10,225.179001,231.514999,220.654007,228.847000,204.983780,7612145
2015-09-11,231.848007,231.990997,219.987000,221.940002,198.797012,6202695
2015-09-14,222.940002,231.753006,222.940002,230.371994,206.349731,7514289
2015-09-15,230.324005,232.324997,217.699997,217.796005,195.085129,9602085
2015-09-16,221.035004,222.320999,216.365997,219.606003,196.706375,7548367
2015-09-18,222.940002,224.274002,216.651993,217.319000,194.657867,8008200
2015-09-21,215.604004,218.462997,212.556000,215.746994,193.249786,5641030
2015-09-22,217.223999,218.080994,208.839996,209.697006,187.830643,5351406
2015-09-23,204.266998,213.460999,203.886002,210.554993,188.599182,7551488
2015-09-24,209.602005,210.317001,204.171005,204.981003,183.606415,5913928
2015-09-28,207.410995,208.125000,198.645996,199.360001,178.571564,6014892
2015-09-29,195.311005,196.931000,190.261993,191.880997,171.872437,12685201
2015-09-30,197.121002,204.266998,195.787003,202.552002,181.430710,9752831
2015-10-01,204.837997,205.315002,200.313004,202.218002,181.131546,5114699
2015-10-05,204.742996,215.128006,204.076004,214.365997,192.012787,8524225
2015-10-06,216.938004,218.177002,212.602997,216.748001,194.146408,7724927
2015-10-07,214.365997,226.464996,213.031998,225.608002,202.082520,10326577
2015-10-08,226.656006,231.229004,225.035995,229.419006,205.496124,9357782
2015-10-09,230.942993,241.042007,230.753006,239.231995,214.285873,11041924
2015-10-12,243.042999,249.569000,237.994003,238.994003,214.072678,11094435
2015-10-13,236.279007,236.897995,231.753006,233.419998,209.079926,6110077
2015-10-14,232.468002,241.042007,232.039001,236.612000,211.939056,6602225
2015-10-15,237.373993,245.044006,236.326004,243.186005,217.827576,7355704
2015-10-16,243.804993,244.567001,236.660004,241.042007,215.907135,5590827
2015-10-19,241.138000,242.089996,235.087997,236.660004,211.982071,4700520
2015-10-20,235.373993,237.136002,228.656998,229.419006,205.496124,5508877
2015-10-21,230.276001,234.802002,226.990005,232.848999,208.568466,8441160
2015-10-23,235.707001,239.709000,232.610992,234.373001,209.933533,5254128
2015-10-26,235.658997,239.660995,234.610992,237.850998,213.048874,4395791
2015-10-27,237.089005,238.470001,232.514999,234.326004,209.891434,3572503
2015-10-28,232.944000,236.755005,232.468002,235.468994,210.915268,3607475
2015-10-29,234.658997,239.565994,233.134995,235.897995,211.299515,4816684
2015-10-30,236.660004,242.757004,233.563004,234.945007,210.445908,6479503
2015-11-02,234.850006,234.945007,225.132004,227.608994,203.874847,5153151
2015-11-03,230.276001,231.514999,223.798004,224.559998,201.143784,4715646
2015-11-04,227.847000,228.656998,222.796997,224.274002,200.887634,5102509
2015-11-05,224.845993,224.845993,213.699005,214.746994,192.354065,9238270
2015-11-06,208.554001,211.365005,204.934006,209.839996,187.958740,10397801
2015-11-09,204.837997,213.794006,202.598999,211.746002,189.665985,6583811
2015-11-10,210.363998,211.746002,206.886993,207.744003,186.081314,4761452
2015-11-13,208.363998,213.031998,206.363007,212.126999,190.007278,4646588
2015-11-16,212.317001,220.940002,209.792999,219.701004,196.791489,7266779
2015-11-17,220.940002,224.608002,219.987000,223.464005,200.162109,5500940
2015-11-18,223.035995,223.893005,214.556000,215.175995,192.738327,5545717
2015-11-19,216.748001,218.843994,214.936996,217.938995,195.213226,3842740
2015-11-20,217.319000,221.748993,217.319000,219.128998,196.279129,4050862
2015-11-23,219.938995,219.938995,212.556000,213.841995,191.543442,4305888
2015-11-24,212.794006,215.699997,211.983994,213.746002,191.457458,4386325
2015-11-26,214.841995,219.128998,213.604004,217.128998,194.487671,4815678
2015-11-27,217.128998,223.893005,216.794998,220.320007,197.345932,5660627
2015-11-30,221.416000,223.320999,217.985992,218.177002,195.426407,4782849
2015-12-01,219.891998,227.227997,219.414993,226.322998,202.722977,6913345
2015-12-02,228.608994,234.278000,226.847000,232.324997,208.099091,9297832
2015-12-03,228.800003,231.990997,225.608002,228.800003,204.941696,7460474
2015-12-04,226.798996,232.705994,225.893997,228.895004,205.026779,5812852
2015-12-07,233.229996,235.802002,230.990997,232.039001,207.842926,5181312
2015-12-08,230.610001,231.563004,222.464005,223.654999,200.333160,4771435
2015-12-09,222.940002,224.703003,214.270004,216.128006,193.591080,4962204
2015-12-10,216.509003,223.654999,215.794998,221.988007,198.840012,5043195
2015-12-11,223.988007,232.371994,223.988007,229.514008,205.581223,12513883
2015-12-14,227.703995,237.136002,227.179993,233.419998,209.079926,11875759
2015-12-15,235.326004,235.563995,229.848007,232.800995,208.525452,5477706
2015-12-16,234.897003,236.850006,230.658005,233.134995,208.824631,6045633
2015-12-17,235.231003,245.757996,234.421005,244.949005,219.406708,12713159
2015-12-18,244.376999,245.757996,241.994995,243.567001,218.168839,7288697
2015-12-21,243.423996,249.044998,242.613998,246.235001,220.558640,6502570
2015-12-22,246.759003,249.425995,244.425003,245.233994,219.661987,4769687
2015-12-23,249.854996,253.809006,249.854996,251.951004,225.678589,8085026
2015-12-24,253.427994,253.427994,248.283005,250.903000,224.739883,4034479
2015-12-28,251.475006,251.807999,241.042007,242.089996,216.845840,5581413
2015-12-29,243.710007,244.996002,241.376007,243.233994,217.870544,3989059
2015-12-30,244.281998,249.425995,243.042999,246.473007,220.771805,7150693
2015-12-31,247.712006,248.473999,244.806000,247.520996,221.710526,4667281
2016-01-01,246.759003,247.615997,241.423004,245.233994,219.661987,3307909
2016-01-04,242.947998,250.759995,241.138000,244.757996,219.235641,7327733
2016-01-05,245.376999,263.335999,245.376999,261.335999,234.084946,15753483
2016-01-06,259.907013,261.621002,253.427994,256.048004,229.348373,7824538
2016-01-07,250.570007,250.856003,236.468994,238.089005,213.262054,9975180
2016-01-08,240.089996,244.186005,237.279007,241.613998,216.419495,6611968
2016-01-11,235.326004,241.376007,232.705994,239.755997,214.755219,6387245
2016-01-12,241.089996,243.233994,231.658005,234.134995,209.720367,5694492
2016-01-13,236.755005,239.899002,225.798996,234.945007,210.445908,7853668
2016-01-14,223.893005,231.085999,220.559006,227.466003,203.746780,9325559
2016-01-15,231.039001,231.514999,217.319000,218.843994,196.023865,6288878
2016-01-18,218.938995,232.468002,214.556000,224.751007,201.314896,8834992
2016-01-19,226.322998,229.561996,220.320007,226.751007,203.106369,6616835
2016-01-20,221.796997,222.940002,215.794998,221.035004,197.986389,5759001
2016-01-21,223.606995,228.037994,220.320007,224.464996,201.058701,6555133
2016-01-22,227.037003,238.945999,226.417999,236.087997,211.469711,6833746
2016-01-25,237.231003,244.281998,237.041000,242.852997,217.529282,5853184
2016-01-27,242.947998,247.615997,241.423004,245.425003,219.833099,6545003
2016-01-28,244.852997,246.235001,240.470993,242.186005,216.931839,6315180
2016-01-29,242.613998,246.567993,235.755005,237.897995,213.090973,7082718
2016-02-01,237.136002,242.899994,234.850006,237.516998,212.749695,4640019
2016-02-02,238.421997,239.136993,219.225006,220.511002,197.517014,8804608
2016-02-03,217.128998,222.845001,210.983994,213.412994,191.159164,8178043
2016-02-04,213.794006,217.796005,208.649002,215.270996,192.823410,12290303
2016-02-05,205.791000,227.037003,205.791000,222.796997,199.564651,27083454
2016-02-08,227.322998,232.419998,221.082993,223.035995,199.778702,10845012
2016-02-09,219.987000,226.084000,219.225006,224.369003,200.972733,7938028
2016-02-10,223.750000,226.513000,216.365997,224.559998,201.143784,7993844
2016-02-11,224.798004,226.084000,210.412003,213.889008,191.585556,6456842
2016-02-12,215.317993,218.509995,201.169998,207.220001,185.611938,9838764
2016-02-15,211.507996,236.279007,211.507996,235.039993,210.530975,14277116
2016-02-16,237.802994,239.709000,231.658005,233.278000,208.952728,9600586
2016-02-17,233.419998,240.947006,226.751007,239.375000,214.413971,8706940
2016-02-18,242.947998,244.376999,231.705994,238.994003,214.072678,9928587
2016-02-19,236.755005,242.423996,235.182999,241.281006,216.121216,7106494
2016-02-22,241.613998,245.330002,239.804001,243.186005,217.827576,5048966
2016-02-23,243.710007,249.235992,240.184998,241.565994,216.376495,8871662
2016-02-24,238.755997,241.757004,235.278000,236.182999,211.554810,4979154
2016-02-25,235.421005,238.041000,233.039001,236.421997,211.768875,5865385
2016-02-26,237.707993,239.804001,231.658005,236.707001,212.024170,5601586
2016-02-29,235.231003,251.188995,233.516006,237.326996,212.579498,10339095
2016-03-01,238.184006,245.949005,234.897003,244.901001,219.363724,7463999
2016-03-02,247.712006,256.763000,247.235001,254.904999,228.324539,8024903
2016-03-03,260.096985,275.341003,259.239990,273.483002,244.965332,18402857
2016-03-04,275.341003,277.437012,271.053986,274.911987,246.245255,9625079
2016-03-08,274.197998,282.677002,273.434998,278.009003,249.019363,9742039
2016-03-09,270.101013,282.485992,268.005005,281.437988,252.090805,10662370
2016-03-10,282.295990,287.011993,279.437988,282.677002,253.200607,8981462
2016-03-11,282.010010,284.105988,276.627014,280.152008,250.938889,8012359
2016-03-14,281.962006,286.058990,281.295990,282.677002,253.200607,4665840
2016-03-15,282.963013,287.726013,280.200012,286.250000,256.401031,7324218
2016-03-16,285.821014,288.441010,280.295013,285.345001,255.590393,7388581
2016-03-17,290.108002,291.204010,280.962006,281.915009,252.518082,8402664
2016-03-18,285.535004,288.441010,282.915009,287.916992,257.894196,7677345
2016-03-21,287.726013,291.489990,286.440002,289.203003,259.046082,5932080
2016-03-22,288.773987,297.062988,287.106995,295.157990,264.380127,6905443
2016-03-23,297.062988,302.875000,295.872009,302.208008,270.694977,6694160
2016-03-28,303.351013,303.351013,283.343994,285.010986,255.291199,9519715
2016-03-29,285.821014,293.204987,285.821014,289.489014,259.302277,6231692
2016-03-30,294.824005,310.354004,290.869995,308.972992,276.754517,13055967
2016-03-31,309.544006,309.544006,299.540009,304.589996,272.828613,14012188
2016-04-01,302.636993,304.733002,298.540009,302.731995,271.164368,5846336
2016-04-04,300.873993,307.829010,299.825989,305.209015,273.383087,5424290
2016-04-05,301.970001,304.303986,293.729004,297.540009,266.513733,6007172
2016-04-06,300.112000,316.308990,298.730988,313.022003,280.381378,15314890
2016-04-07,314.308014,317.023010,306.876007,308.401001,276.242218,9036551
2016-04-08,307.782013,309.449005,303.971008,306.876007,274.876190,6382616
2016-04-11,306.781006,317.546997,304.923004,315.498993,282.600037,9462037
2016-04-12,308.591003,315.260986,302.970001,309.162994,276.924744,11661444
2016-04-13,312.020996,320.309998,310.592010,317.118011,284.050262,10794604
2016-04-18,316.213013,321.309998,312.164001,319.691010,286.354919,7549816
2016-04-20,321.976990,342.317993,321.739014,340.556000,305.044189,19294099
2016-04-21,341.842010,346.843994,336.411011,337.792999,302.569305,10864121
2016-04-22,341.079987,346.558014,335.648987,336.934998,301.800812,12695922
2016-04-25,335.839996,336.983002,328.265015,331.028015,296.509735,6465189
2016-04-26,330.743011,343.557007,330.695007,341.651001,306.025024,8759295
2016-04-27,341.937012,345.272003,337.411987,339.889008,304.446777,6326554
2016-04-28,340.127014,344.890991,329.790009,331.170990,296.637848,10579181
2016-04-29,331.266998,337.173004,326.502991,334.506012,299.625122,8191719
2016-05-02,332.505005,334.411011,328.122009,330.552002,296.083405,4388732
2016-05-03,332.266998,338.841003,330.600006,332.410004,297.747620,6690916
2016-05-04,329.647003,330.838013,311.925995,313.212006,280.551544,8352315
2016-05-05,313.450012,318.976013,308.829987,316.118011,283.154541,8749478
2016-05-06,314.403015,315.832001,309.734985,313.735992,281.020874,5628854
2016-05-09,314.403015,319.118988,311.734985,313.165009,280.509430,4889488
2016-05-10,315.260986,321.309998,309.782013,312.545013,279.954102,11283379
2016-05-11,304.779999,316.308990,304.066010,314.213013,281.448151,5969860
2016-05-12,315.593994,316.498993,311.164001,314.975006,282.130707,4940120
2016-05-13,311.545013,313.783997,306.019012,307.399994,275.345581,5880488
2016-05-16,307.782013,311.782990,304.303986,310.972992,278.545990,4125806
2016-05-17,313.260010,315.498993,309.067993,311.687988,279.186462,5121836
2016-05-18,310.306000,314.593994,307.877014,313.497986,280.807709,3946031
2016-05-19,311.069000,321.453003,309.639008,310.829987,278.417908,6833711
2016-05-20,310.782990,311.640015,305.924011,307.399994,275.345581,4839839
2016-05-23,309.354004,310.354004,297.730011,298.730988,267.580536,6714552
2016-05-24,298.635010,303.398987,296.539001,302.683990,271.121368,5272059
2016-05-25,304.876007,311.069000,303.113007,309.257996,277.009857,5797914
